adb	5.0.2~6fe92d1a-r3	55.93 KiB	Android Debug Bridge (adb) is a versatile command line tool that lets you communicate with an emulator instance or connected Android-powered device.	
ucode	2024.07.22~b610860d-r3	6.92 KiB	ucode is a tiny script interpreter featuring an ECMAScript oriented script language and Jinja-inspired templating.	
 
ucode-mod-fs	2024.07.22~b610860d-r3	9.66 KiB	The filesystem plugin module allows interaction with the local file system.	
 
ucode-mod-html	1	25.37 KiB	ucode HTML utility library	
 
ucode-mod-lua	1	8.01 KiB	ucode to Lua bridge library	
 
ucode-mod-math	2024.07.22~b610860d-r3	2.82 KiB	The math plugin provides access to various <math.h> procedures.	
 
ucode-mod-nl80211	2024.07.22~b610860d-r3	20.33 KiB	The nl80211 plugin provides access to the Linux wireless 802.11 netlink API.	
 
ucode-mod-rtnl	2024.07.22~b610860d-r3	26.77 KiB	The rtnl plugin provides access to the Linux routing netlink API.	
 
ucode-mod-ubus	2024.07.22~b610860d-r3	12.78 KiB	The ubus module allows ucode template scripts to enumerate and invoke ubus procedures.	
 
ucode-mod-uci	2024.07.22~b610860d-r3	6.85 KiB	The uci module allows templates to read and modify uci configuration.	
 
ucode-mod-uloop	2024.07.22~b610860d-r3	8.13 KiB	The uloop module allows ucode scripts to interact with OpenWrt uloop event loop implementation.	
 
uhttpd	2023.06.25~34a8a74d-r4	27.25 KiB	uHTTPd is a tiny single threaded HTTP server with TLS, CGI and Lua support. It is intended as a drop-in replacement for the Busybox HTTP daemon.	
 
uhttpd-mod-ubus	2023.06.25~34a8a74d-r4	7.90 KiB	The ubus plugin adds a HTTP/JSON RPC proxy for ubus and publishes the session.* namespace and procedures.	
 
uqmi	2024.08.25~28b48a10-r2	45.25 KiB	uqmi is a command line tool for controlling mobile broadband modems using the QMI-protocol.	
 
urandom-seed	3	1.47 KiB	/etc/urandom.seed handling for OpenWrt	
 
urngd	2023.11.01~44365eb1-r1	9.24 KiB	urngd is OpenWrt's micro non-physical true random number generator based on timing jitter. Using the Jitter RNG core, the rngd provides an entropy source that feeds into the Linux /dev/random device if its entropy runs low. It updates the /dev/random entropy estimator such that the newly provided entropy unblocks /dev/random. The seeding of /dev/random also ensures that /dev/urandom benefits from entropy. Especially during boot time, when the entropy of Linux is low, the Jitter RNGd provides a source of suf	
 
usign	2020.05.23~f1f65026-r1	11.60 KiB	OpenWrt signature verification utility	
 
wifi-scripts	1.0-r1	30.17 KiB	A set of scripts that handle setup and configuration of Wi-Fi devices.	
 
wireguard-tools	1.0.20210914-r4	27.13 KiB	WireGuard is a novel VPN that runs inside the Linux Kernel and utilizes state-of-the-art cryptography. It aims to be faster, simpler, leaner, and more useful than IPSec, while avoiding the massive headache. It intends to be considerably more performant than OpenVPN. WireGuard is designed as a general purpose VPN for running on embedded interfaces and super computers alike, fit for many different circumstances. It uses UDP. This package provides the userspace control program for WireGuard, `wg(8)`, a netifd	
 
wireless-regdb	2024.10.07-r1	3.14 KiB	Wireless Regulatory Database	
 
wpad-basic-mbedtls	2024.09.15~5ace39b0-r1	494.83 KiB	This package contains a basic IEEE 802.1x/WPA Authenticator and Supplicant with WPA-PSK, SAE (WPA3-Personal), 802.11r and 802.11w support.	
 
wsdd2	2023.12.21~b676d8ac-r2	19.03 KiB	Web Services for Devices or Web Services on Devices (WSD), is a Microsoft API to simplify programming connections to web service enabled devices, such as printers, scanners and file shares. This daemon advertises and responds to probe requests from Windows clients looking for file shares. It also implements LLMNR multicast name lookup services.	
 
wwan	2019.04.29-r6	23.46 KiB	Generic OpenWrt 3G/4G proto handler	
 
zlib	1.3.1-r1	37.04 KiB	zlib is a lossless data-compression library. This package includes the shared library.	
 
zram-swap	32	2.55 KiB	A script to activate swaping on a compressed zram partition. This could be used to increase the available memory, by using compressed memory.
