adb	5.0.2~6fe92d1a-r3	55.93 KiB	Android Debug Bridge (adb) is a versatile command line tool that lets you communicate with an emulator instance or connected Android-powered device.	
kmod-crypto-lib-chacha20	6.6.61-r1	5.95 KiB	ChaCha library interface	
 
kmod-crypto-lib-chacha20poly1305	6.6.61-r1	3.94 KiB	ChaCha20-Poly1305 AEAD support (8-byte nonce library version)	
 
kmod-crypto-lib-curve25519	6.6.61-r1	12.20 KiB	Curve25519 scalar multiplication library	
 
kmod-crypto-lib-poly1305	6.6.61-r1	5.85 KiB	Poly1305 library interface	
 
kmod-crypto-manager	6.6.61-r1	915 B	CryptoAPI algorithm manager	
 
kmod-crypto-md5	6.6.61-r1	4.25 KiB	MD5 digest CryptoAPI module	
 
kmod-crypto-null	6.6.61-r1	833 B	Null CryptoAPI module	
 
kmod-crypto-rng	6.6.61-r1	910 B	CryptoAPI random number generation	
 
kmod-crypto-seqiv	6.6.61-r1	893 B	CryptoAPI Sequence Number IV Generator	
 
kmod-crypto-sha256	6.6.61-r1	864 B	SHA224 SHA256 digest CryptoAPI module	
 
kmod-crypto-sha3	6.6.61-r1	854 B	SHA3 digest CryptoAPI module	
 
kmod-crypto-sha512	6.6.61-r1	6.37 KiB	SHA512 digest CryptoAPI module	
 
kmod-fs-autofs4	6.6.61-r1	15.83 KiB	Kernel module for AutoFS4 support	
 
kmod-fs-ksmbd	6.6.61-r1	118.13 KiB	Kernel module for SMB kernel server support	
 
kmod-fs-netfs	6.6.61-r1	9.48 KiB	Network Filesystems support	
 
kmod-fs-smbfs-common	6.6.61-r1	3.49 KiB	Kernel module dependency for CIFS or SMB_SERVER support	
 
kmod-fs-vfat	6.6.61-r1	45.23 KiB	Kernel module for VFAT filesystem support	
 
kmod-gpio-button-hotplug	6.6.61-r5	6.69 KiB	This is a replacement for the following in-kernel drivers: 1) gpio_keys (KEYBOARD_GPIO) 2) gpio_keys_polled (KEYBOARD_GPIO_POLLED) Instead of generating input events (like in-kernel drivers do) it generates uevent-s and broadcasts them. This allows disabling input subsystem which is an overkill for OpenWrt simple needs.	
 
kmod-hwmon-core	6.6.61-r1	7.80 KiB	Kernel modules for hardware monitoring	
 
kmod-leds-gpio	6.6.61-r1	3.80 KiB	Kernel module for LEDs on GPIO lines	
 
kmod-lib-crc-ccitt	6.6.61-r1	2.80 KiB	Kernel module for CRC-CCITT support	
 
kmod-lib-crc32c	6.6.61-r1	2.10 KiB	Kernel module for CRC32 support	
 
kmod-lib-lzo	6.6.61-r1	870 B	Kernel module for LZO compression/decompression support	
 
kmod-mac80211	6.6.61.6.11.2-r1	352.71 KiB	Generic IEEE 802.11 Networking Stack (mac80211)	
 
kmod-mii	6.6.61-r1	4.16 KiB	MII library	
 
kmod-nf-conntrack	6.6.61-r1	54.51 KiB	Netfilter connection tracking	
 
kmod-nf-conntrack6	6.6.61-r1	736 B	Netfilter IPv6 connection tracking	
 
kmod-nf-flow	6.6.61-r1	15.58 KiB	Netfilter flowtable support	
 
kmod-nf-log	6.6.61-r1	8.70 KiB	Netfilter Logging	
 
kmod-nf-log6	6.6.61-r1	724 B	Netfilter IPV6 Logging	
 
kmod-nf-nat	6.6.61-r1	17.01 KiB	Netfilter NAT	
 
kmod-nf-reject	6.6.61-r1	4.13 KiB	Netfilter IPv4 reject support	
 
kmod-nf-reject6	6.6.61-r1	4.37 KiB	Netfilter IPv6 reject support	
 
kmod-nfnetlink	6.6.61-r1	5.99 KiB	Kernel modules support for a netlink-based userspace interface	
 
kmod-nft-core	6.6.61-r1	128.59 KiB	Kernel module support for nftables	
 
